Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
4;0;0;0;49.6;;
4.7;637;588;49;55.08;;
3.1;0;0;0;77.47;;
1.8;0;0;0;80.41;;
1.8;0;0;0;77.09;;
1.4;0;0;0;57.39;;
3;0;0;0;48.99;;
5.6;1336;1116;220;46.64;;
6.2;1731;1560;171;42.54;;
6.8;2064;2300;-236;30;;
8.7;4936;4859;78;24.39;;
7.5;2916;3028;-112;21.03;;
7.1;2323;2114;209;18.25;;
6.9;2119;2193;-74;19.2;;
6.3;1787;2066;-279;25.77;;
6.1;1676;1599;76;48.39;;
5.5;1265;1368;-102;56.84;;
2.5;0;0;0;80;;
1.7;0;0;0;73;;
1.9;0;0;0;69.54;;
2.4;0;0;0;66.39;;
2.8;0;0;0;64.79;;
3.1;0;0;0;62.1;;
1.9;0;0;0;66;;
3.8;0;0;0;69;;
4.4;364;373;-8;70;;
5.9;1549;1654;-104;84;;
5.8;1478;1470;8;84;;
5.2;1052;1077;-25;83.06;;
6;1620;1603;17;70;;
4.9;819;839;-20;53.09;;
5.6;1336;1354;-17;51;;
6.3;1787;1760;26;47.52;;
6.1;1676;1657;18;26.92;;
8;3658;3442;215;21.51;;
6.8;2064;1984;79;21.04;;
5.9;1549;1666;-117;6.6;;
5.7;1407;1345;62;18.15;;
5;911;817;93;32.17;;
4.7;637;667;-30;51.39;;
6.6;1953;2044;-91;52.56;;
4;0;0;0;55.95;;
2.5;0;0;0;63.97;;
4;0;0;0;67.71;;
4.5;455;421;34;64.86;;
3;0;0;0;67.01;;
6.1;1676;1763;-87;62.31;;
6.1;1676;1712;-37;60;;
7.2;2471;2360;111;60;;
7;2175;2220;-45;62.78;;
7.5;2916;2779;137;69.92;;
6.5;1897;1803;94;71.99;;
7.5;2916;2684;232;68.95;;
7.7;3213;3495;-282;62.66;;
8.3;4206;3811;395;59;;
8;3658;3482;176;56.53;;
7.1;2323;2493;-170;55.41;;
5.2;1052;1075;-23;53.88;;
9.5;6378;6847;-468;54;;
8.6;4754;4913;-159;53.14;;
7.9;3510;3687;-178;49.04;;
8.5;4571;4955;-383;48.45;;
5.3;1123;943;180;49.07;;
3.6;0;0;0;52.5;;
7.5;2916;3301;-384;56.2;;
5.5;1265;1277;-11;46.78;;
4.1;91;82;9;48.28;;
4.2;182;178;4;54;;
4.3;273;276;-3;48.28;;
3.9;0;0;0;47.5;;
3.9;0;0;0;46.78;;
3.5;0;0;0;42.89;;
3.8;0;0;0;46.78;;
4.3;273;250;23;47.21;;
5;911;860;50;58;;
5.6;1336;1419;-82;65;;
3.5;0;0;0;68.14;;
3.8;0;0;0;63.58;;
2.9;0;0;0;53.99;;
2.6;0;0;0;46.78;;
1.9;0;0;0;46.78;;
0.9;0;0;0;51.56;;
1.8;0;0;0;35;;
1.9;0;0;0;19.95;;
0.7;0;0;0;19.95;;
1.1;0;0;0;32.15;;
2.3;0;0;0;52.1;;
2.3;0;0;0;62.51;;
4.3;273;303;-30;68.32;;
5.4;1194;1326;-131;49.31;;
5.7;1407;1350;58;54.01;;
6.1;1676;1740;-64;62.03;;
6.3;1787;1779;8;58.14;;
6.5;1897;2067;-169;62.06;;
4.9;819;901;-82;65.99;;
5;911;957;-46;68.86;;
4.2;182;173;9;61.23;;
4.7;637;569;68;62.03;;
4.9;819;743;77;53.68;;
5.8;1478;1323;155;53.68;;
5.7;1407;1616;-209;53.68;;
4.9;819;861;-41;53.68;;
5.2;1052;1010;42;47.06;;
5.2;1052;1024;28;47.06;;
3.7;0;0;0;45.5;;
3.7;0;0;0;24.37;;
2;0;0;0;20.78;;
2.2;0;0;0;22.07;;
4.2;182;202;-20;21.71;;
4.6;546;448;98;22.7;;
3.8;0;0;0;30.36;;
5.5;1265;1313;-48;52.01;;
3.8;0;0;0;56.38;;
4.8;728;679;50;66.39;;
4.5;455;488;-32;70.57;;
4.8;728;816;-88;69.13;;
5.4;1194;1349;-155;68.54;;
4.8;728;731;-3;67.77;;
5.5;1265;1339;-74;57.55;;
5.2;1052;1029;23;63.7;;
4.7;637;615;22;63.63;;
5.4;1194;1276;-82;66.78;;
5.3;1123;1280;-156;73.08;;
5.5;1265;1217;49;73.64;;
5.4;1194;1254;-59;70.92;;
7.2;2471;2534;-63;66.14;;
9.1;5678;5670;7;46.32;;
9.3;6050;6508;-458;42.12;;
6.9;2119;2385;-265;42.58;;
9.9;7000;7273;-273;47.75;;
11.5;7000;7731;-731;47.75;;
8.4;4389;4173;216;47.75;;
7.4;2768;2378;390;47.27;;
7.2;2471;2601;-130;47.75;;
6.8;2064;2123;-59;61.4;;
6.4;1842;1858;-16;71.2;;
8.7;4936;4585;351;84;;
7.6;3065;3052;13;88.33;;
5.6;1336;1321;15;86.3;;
4.7;637;632;6;81.55;;
5;911;953;-43;66.23;;
5.3;1123;1166;-42;59.92;;
9.7;6876;7661;-785;59.29;;
9.6;6627;7320;-693;69.97;;
9.4;6214;6431;-217;76.9;;
9.8;7000;7514;-514;81.79;;
9.5;6378;6282;96;86.42;;
9.6;6627;6300;327;87.69;;
8.9;5302;5163;139;79.3;;
10.8;7000;6529;471;69.45;;
11.1;7000;6364;636;64.26;;
11.8;7000;6159;841;61.81;;
7.2;2471;2474;-3;52.22;;
2.9;0;0;0;22.51;;
6;1620;1813;-193;10;;
7.2;2471;2512;-41;2.08;;
2.1;0;0;0;2.01;;
11.3;7000;6290;710;2;;
9.4;6214;6547;-333;2.01;;
7.8;3361;3395;-33;20.08;;
6.7;2008;1866;143;47.27;;
8.3;4206;4529;-323;61.46;;
6.9;2119;2183;-63;56.86;;
11.9;7000;7412;-412;56.86;;
11.4;7000;6857;143;59.55;;
9.7;6876;6808;68;57.05;;
9.7;6876;6300;575;57.43;;
11.8;7000;7246;-246;64.1;;
12;7000;7154;-154;71.09;;
13.7;7000;7162;-162;74.01;;
12.8;7000;6875;125;82.38;;
13.2;7000;7773;-773;86;;
12.7;7000;7375;-375;80.15;;
13.8;7000;7669;-669;69;;
11.2;7000;6123;877;50.58;;
10.5;7000;7395;-395;30.7;;
9.8;7000;7464;-464;42.64;;
9.5;6378;6090;288;35;;
7.7;3213;3065;148;46.44;;
7.4;2768;3103;-335;46.44;;
6.2;1731;1576;155;35;;
4.7;637;637;0;27.6;;
3.4;0;0;0;45;;
1.4;0;0;0;47.44;;
5.1;981;1074;-93;56.89;;
4.8;728;752;-23;78.02;;
3.3;0;0;0;58.34;;
3.6;0;0;0;58.4;;
3.5;0;0;0;65;;
3.2;0;0;0;68.85;;
4.9;819;795;25;69.97;;
5.7;1407;1332;75;77.14;;
8.3;4206;4087;119;76.98;;
10.2;7000;7647;-647;82;;
11.2;7000;6755;245;97.04;;
12.6;7000;6964;36;98.02;;
11.2;7000;6907;93;94.38;;
12.8;7000;7856;-856;77.2;;
14.8;7000;6781;219;67.18;;
13.1;7000;6961;39;63.19;;
13.3;7000;5882;1118;57.01;;
15.3;7000;6569;431;47.44;;
13.4;7000;7345;-345;47.44;;
12.2;7000;6497;503;47.44;;
11.4;7000;6949;51;47.44;;
8.9;5302;5169;133;46.48;;
9.2;5871;6311;-440;46.48;;
9.2;5871;6230;-359;47.44;;
15.5;7000;7708;-708;54.96;;
13.6;7000;7350;-350;56.94;;
13.6;7000;7578;-578;53.08;;
12.5;7000;6145;855;53.08;;
12;7000;6786;214;53.08;;
10.9;7000;7317;-317;49.08;;
9.8;7000;7123;-123;46.48;;
9.2;5871;5696;175;46.56;;
8.8;5119;5523;-404;47.48;;
8.5;4571;4562;9;57.7;;
8;3658;3691;-33;65.01;;
8.2;4023;4223;-200;66.4;;
11.1;7000;6845;155;63.8;;
9.9;7000;6372;628;53.08;;
8.3;4206;4333;-128;44.02;;
8.4;4389;4122;266;41;;
9.1;5678;5344;334;41.01;;
8.3;4206;4062;144;41.01;;
9.2;5871;5950;-78;41;;
8.5;4571;5015;-444;25.12;;
8.2;4023;3543;480;22.22;;
9.9;7000;7310;-310;22.25;;
10.2;7000;6937;63;33.72;;
9.4;6214;6037;177;31.28;;
10.7;7000;6820;180;43.38;;
8.7;4936;4790;146;52.3;;
8.8;5119;5039;80;57.88;;
7.1;2323;2374;-51;60.81;;
6.5;1897;1859;38;60.11;;
6.6;1953;2030;-77;59.8;;
3.8;0;0;0;57;;
2.4;0;0;0;57.76;;
5.8;1478;1497;-18;58.57;;
6.7;2008;1995;13;62.25;;
7.7;3213;3543;-330;70;;
7.2;2471;2810;-338;93.25;;
8.1;3841;3769;72;95.27;;
7.7;3213;3076;137;70;;
8.6;4754;4891;-137;62.99;;
9.4;6214;5718;496;60.48;;
9.9;7000;7164;-164;56.97;;
10.2;7000;6260;740;53.37;;
9.8;7000;7871;-871;47.62;;
10.8;7000;6123;877;46.38;;
12;7000;7213;-213;30.43;;
11.9;7000;7143;-143;27.21;;
11.2;7000;7536;-536;45.1;;
10.5;7000;6534;466;65.4;;
13;7000;7542;-542;80.22;;
12.8;7000;6487;513;85.79;;
11.8;7000;6649;351;80.95;;
9.9;7000;7544;-544;69.03;;
10.4;7000;7185;-185;63.7;;
10.6;7000;6950;50;62.33;;
12.1;7000;7368;-368;63.22;;
14.6;7000;7665;-665;62.33;;
14.7;7000;6571;429;79.33;;
14;7000;6892;108;86.3;;
9.5;6378;6260;119;97.16;;
7;2175;2341;-166;93.96;;
10.6;7000;7383;-383;89.4;;
8.9;5302;5420;-118;79.4;;
8.3;4206;4158;48;68.5;;
7.9;3510;3477;33;65.58;;
7.2;2471;2512;-41;64;;
7.2;2471;2539;-68;54.04;;
12.7;7000;7036;-36;52.3;;
12.1;7000;6602;398;49.6;;
11.2;7000;7333;-333;47.9;;
12;7000;7046;-46;49.6;;
11.2;7000;6980;20;57.6;;
10.5;7000;6468;532;67.82;;
12.6;7000;6516;484;85;;
12.8;7000;6746;254;93.61;;
14.3;7000;6810;190;87.56;;
13.4;7000;6774;226;82.4;;
12.9;7000;6990;10;80.95;;
12.9;7000;7215;-215;71.38;;
9.6;6627;6369;258;69.97;;
12.1;7000;7615;-615;73.48;;
12.4;7000;6340;660;77.67;;
12.1;7000;6866;134;84.53;;
11.9;7000;6652;348;95.9;;
