Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
4.7;637;630;7;49.33;;
4.8;728;678;51;52.77;;
4.8;728;804;-75;52.13;;
3.1;0;0;0;52;;
3.7;0;0;0;51.58;;
3.9;0;0;0;52.26;;
3.6;0;0;0;51.65;;
3.9;0;0;0;51.65;;
4.2;182;183;-1;53.32;;
4.4;364;348;17;48.74;;
3;0;0;0;44.4;;
2.7;0;0;0;47.51;;
2;0;0;0;50.73;;
1;0;0;0;60.6;;
0.6;0;0;0;69;;
1.4;0;0;0;54.86;;
1;0;0;0;69.9;;
1.2;0;0;0;63.12;;
2;0;0;0;55;;
2.8;0;0;0;50.47;;
5.4;1194;1222;-27;49.55;;
5.6;1336;1285;51;48.74;;
6.3;1787;1832;-45;47.76;;
6.8;2064;1989;75;47.01;;
6.4;1842;1790;52;47.4;;
5.5;1265;1278;-12;50.56;;
3.6;0;0;0;67.68;;
1.3;0;0;0;76.39;;
3.2;0;0;0;77.45;;
3.6;0;0;0;73.03;;
4.6;546;564;-18;65.46;;
6.1;1676;1752;-76;62.87;;
4.4;364;377;-13;63.76;;
5;911;830;81;61.67;;
3.8;0;0;0;62.59;;
2.5;0;0;0;62.4;;
3.6;0;0;0;64.46;;
4.2;182;187;-5;68;;
5.9;1549;1497;52;75.5;;
5.8;1478;1391;87;90.47;;
5.5;1265;1204;61;75;;
5.3;1123;1239;-115;65.43;;
6.3;1787;1920;-133;60.8;;
8.1;3841;4034;-194;56.31;;
9.3;6050;6233;-183;53.29;;
10.5;7000;5858;1142;50.2;;
8.5;4571;5052;-481;47.5;;
9.5;6378;6911;-533;42.57;;
10.6;7000;7497;-497;40.86;;
11.1;7000;6674;326;47.59;;
12.9;7000;7369;-369;61.6;;
13.5;7000;7704;-704;70.09;;
15;7000;7462;-462;72.66;;
12.9;7000;6564;436;60;;
13.6;7000;6590;410;53.27;;
15.3;7000;6994;6;53.27;;
16.7;7000;6622;378;56.1;;
13.3;7000;6511;489;46.86;;
12.9;7000;6942;58;45.7;;
11.7;7000;6860;140;46.45;;
10.9;7000;7463;-463;53.27;;
11;7000;6605;395;54.8;;
11.8;7000;6949;51;71.4;;
9.7;6876;6417;459;82;;
11.7;7000;6808;192;66.78;;
12.4;7000;6552;448;54.92;;
12.1;7000;6776;224;54.76;;
13.4;7000;7548;-548;50.2;;
14.5;7000;6788;212;56.97;;
11.5;7000;7203;-203;50.52;;
16.4;7000;7287;-287;49;;
17.5;7000;8432;-1432;39.2;;
18.3;7000;6870;130;50.04;;
17.8;7000;8397;-1397;56.19;;
17.2;7000;6599;401;64.97;;
14.5;7000;5980;1020;74.21;;
16.2;7000;6678;322;70.25;;
14.8;7000;6636;364;58.41;;
12.3;7000;7654;-654;53.09;;
12.7;7000;6373;627;53;;
14.6;7000;7129;-129;53.09;;
11.7;7000;7039;-39;49.77;;
11.3;7000;7386;-386;51.79;;
10.1;7000;7280;-280;54.43;;
10;7000;6771;229;53.19;;
9;5484;5240;245;65.05;;
7.7;3213;3245;-32;72.86;;
8;3658;3747;-89;85.86;;
6.4;1842;1982;-140;73.58;;
6.1;1676;1442;234;60.98;;
5.5;1265;1231;34;58.5;;
4.6;546;471;75;57.41;;
4.9;819;837;-18;54.55;;
6;1620;1576;44;54;;
5;911;924;-13;52.5;;
4.2;182;198;-16;52.04;;
3.7;0;0;0;53.17;;
2.6;0;0;0;55;;
1.4;0;0;0;62.5;;
1.9;0;0;0;67.51;;
1.1;0;0;0;67.79;;
2.6;0;0;0;60.96;;
3.2;0;0;0;58.13;;
4;0;0;0;61;;
4.1;91;97;-6;57.59;;
2.9;0;0;0;53.17;;
3.5;0;0;0;57.47;;
3.3;0;0;0;60.96;;
2.5;0;0;0;65;;
2.4;0;0;0;70;;
3;0;0;0;88;;
2.3;0;0;0;93;;
4.5;455;437;18;82.29;;
5.4;1194;1219;-24;71;;
5.4;1194;1137;57;64.65;;
5.1;981;902;80;60.96;;
4.7;637;601;37;61.03;;
7.1;2323;2196;127;62.48;;
6.4;1842;1996;-154;58.13;;
5.4;1194;1177;17;54;;
5;911;961;-51;60.96;;
4.2;182;163;19;63.62;;
3.2;0;0;0;67;;
3.5;0;0;0;70.42;;
2.1;0;0;0;72.89;;
1.6;0;0;0;69;;
2.7;0;0;0;63.9;;
2.7;0;0;0;62.32;;
2.7;0;0;0;60;;
2.2;0;0;0;59;;
1.7;0;0;0;61;;
1.3;0;0;0;63.57;;
1.2;0;0;0;65;;
1.6;0;0;0;76.61;;
2.3;0;0;0;99.47;;
1.4;0;0;0;100.91;;
1.5;0;0;0;82.71;;
1.5;0;0;0;74.99;;
1.7;0;0;0;61;;
1.4;0;0;0;58;;
0.9;0;0;0;77.23;;
0.4;0;0;0;58.31;;
0.9;0;0;0;54.28;;
1;0;0;0;54.09;;
0.8;0;0;0;53.4;;
1.2;0;0;0;54;;
1.8;0;0;0;54.11;;
2.5;0;0;0;59.47;;
3.1;0;0;0;58.31;;
3.5;0;0;0;57.33;;
3.6;0;0;0;57.19;;
4;0;0;0;54;;
4.3;273;263;10;51.93;;
3.9;0;0;0;49.67;;
3.9;0;0;0;51.75;;
3.7;0;0;0;54.88;;
3;0;0;0;59.47;;
2.7;0;0;0;59.92;;
3.3;0;0;0;78.41;;
3.4;0;0;0;84.47;;
4.3;273;264;9;74.21;;
3.3;0;0;0;63.93;;
3.1;0;0;0;58;;
3;0;0;0;54;;
3.1;0;0;0;74.2;;
4.9;819;788;31;60.01;;
4.6;546;572;-26;54.69;;
3.8;0;0;0;54.89;;
2.9;0;0;0;61.13;;
3.5;0;0;0;61.47;;
1.9;0;0;0;62.43;;
6.5;1897;1963;-66;61.13;;
7.6;3065;2972;92;62.64;;
10.1;7000;5941;1059;62.5;;
12;7000;6827;173;59.47;;
11.3;7000;6748;252;53.9;;
8.7;4936;5092;-156;50.7;;
10.1;7000;6834;166;46.4;;
10.2;7000;7756;-756;46.8;;
10.5;7000;7291;-291;52.36;;
6.1;1676;1588;87;59.14;;
3;0;0;0;80.3;;
1.9;0;0;0;99.71;;
4.1;91;92;-1;100.36;;
4.9;819;696;123;97.28;;
5.5;1265;1200;65;90;;
7.4;2768;2713;55;67.3;;
7.2;2471;2750;-279;170;;
7.5;2916;2608;308;58.55;;
5;911;864;46;54.68;;
5.7;1407;1446;-39;52.77;;
6.8;2064;1949;115;52.77;;
8;3658;3740;-82;52.54;;
7.7;3213;2958;255;54.52;;
5.2;1052;1134;-81;66.72;;
4;0;0;0;80;;
2.4;0;0;0;80.19;;
3.3;0;0;0;57;;
4.1;91;93;-2;54;;
5;911;981;-70;54;;
5.6;1336;1339;-2;54;;
4;0;0;0;52.77;;
3.5;0;0;0;50.17;;
4.6;546;498;49;50.17;;
4.1;91;87;4;49.83;;
3.6;0;0;0;50.17;;
6.5;1897;1808;89;59.91;;
3.3;0;0;0;89.82;;
4.8;728;782;-53;76.82;;
6.1;1676;1496;179;69.72;;
5.6;1336;1434;-98;61;;
5.6;1336;1469;-133;54;;
4.8;728;744;-16;54;;
2.5;0;0;0;50.93;;
1.1;0;0;0;43;;
1.4;0;0;0;41.1;;
0.6;0;0;0;41.9;;
2;0;0;0;48.99;;
1.4;0;0;0;57.15;;
2.8;0;0;0;71.07;;
2.6;0;0;0;71.95;;
3.4;0;0;0;66.36;;
2.7;0;0;0;63.28;;
2.9;0;0;0;54;;
3.7;0;0;0;49.7;;
3.1;0;0;0;47.51;;
3.5;0;0;0;49.4;;
3.7;0;0;0;50;;
2.3;0;0;0;52.58;;
1.1;0;0;0;59.4;;
3.3;0;0;0;68.85;;
3.3;0;0;0;82.37;;
3.6;0;0;0;80;;
3.6;0;0;0;67.04;;
3.7;0;0;0;65.69;;
4.9;819;859;-39;60;;
5.6;1336;1312;24;53.97;;
5.6;1336;1331;6;50.99;;
5.7;1407;1473;-66;46.02;;
5.9;1549;1572;-23;43.6;;
4.2;182;175;7;45.05;;
3.6;0;0;0;52.6;;
4.3;273;277;-4;64.23;;
7.1;2323;2157;166;72.26;;
7.2;2471;2495;-24;73.04;;
6.5;1897;1814;84;57.11;;
5.1;981;1080;-99;50.01;;
5.5;1265;1299;-33;25.71;;
5.2;1052;1059;-7;18.42;;
5.9;1549;1681;-132;18.56;;
5.5;1265;1208;58;20.3;;
4.8;728;744;-15;25.53;;
3.4;0;0;0;28.55;;
3.4;0;0;0;49.64;;
5.8;1478;1510;-32;61.9;;
6.9;2119;2114;6;70.82;;
6.2;1731;1796;-65;71.35;;
6.4;1842;1628;214;61.1;;
7.4;2768;2807;-39;54.49;;
8.2;4023;4003;20;51.03;;
9.8;7000;7008;-8;47.78;;
9.4;6214;6063;151;52;;
9.3;6050;5518;532;48;;
9.9;7000;6868;132;48.01;;
8.8;5119;5184;-65;52.94;;
7.6;3065;3014;51;54.94;;
6.6;1953;1940;13;66.28;;
0.4;0;0;0;68.61;;
3.5;0;0;0;66.61;;
4.7;637;600;37;63.69;;
4.7;637;652;-15;54.65;;
4.5;455;498;-43;43.01;;
4.6;546;552;-5;39;;
3.9;0;0;0;36.25;;
3.4;0;0;0;33.91;;
3.5;0;0;0;32.71;;
2.3;0;0;0;37;;
2.1;0;0;0;48;;
3.2;0;0;0;65.5;;
3.3;0;0;0;75.58;;
4;0;0;0;75.58;;
3.3;0;0;0;69.59;;
6;1620;1544;76;63.69;;
6.7;2008;1994;14;56.8;;
8.15;3932;4127;-195;57.6;;
9.6;6627;7125;-498;55.31;;
9.7;6876;7111;-235;54.6;;
9;5484;6236;-752;55.1;;
8.4;4389;4541;-152;55.31;;
9.6;6627;7208;-581;56.4;;
9.4;6214;6152;62;65.76;;
9.6;6627;6706;-79;66.37;;
9.1;5678;5518;159;74.25;;
7.3;2620;2429;191;65.76;;
7.5;2916;2732;184;60;;
7.6;3065;2809;256;54.08;;
6.4;1842;1740;103;46.13;;
7.1;2323;2119;205;35.1;;
8.6;4754;4870;-116;28.99;;
8.7;4936;4666;270;36.17;;
9.3;6050;6173;-123;40.99;;
9.2;5871;5439;432;54.56;;
10.6;7000;6460;540;59.96;;
11.5;7000;7369;-369;66;;
12.4;7000;6729;271;65.76;;
12.1;7000;7208;-208;63.19;;
11.6;7000;7330;-330;55.8;;
12.6;7000;6931;69;51.53;;
13.1;7000;6244;756;54.57;;
11.1;7000;6588;412;50.97;;
11.7;7000;7423;-423;47.01;;
13;7000;6252;748;42.9;;
14.1;7000;7848;-848;41.1;;
13.6;7000;7836;-836;49.62;;
13.2;7000;7383;-383;57;;
9.5;6378;6450;-72;54.77;;
12;7000;6942;58;59.99;;
14.5;7000;7676;-676;63.32;;
16.3;7000;7222;-222;60.36;;
16.4;7000;7512;-512;55;;
18.3;7000;5936;1064;53.04;;
11.1;7000;7456;-456;42.2;;
12.1;7000;7175;-175;37.75;;
11.6;7000;6665;335;41.55;;
8.9;5302;5316;-14;42.41;;
10.1;7000;5924;1076;33.83;;
11.4;7000;6977;23;57.25;;
7.5;2916;2934;-18;61.83;;
8.6;4754;4699;55;63.32;;
4.9;819;850;-31;72;;
2.7;0;0;0;66.47;;
2.6;0;0;0;57.17;;
4.9;819;784;36;50.11;;
10.5;7000;7003;-3;46.96;;
14;7000;6928;72;41.26;;
15;7000;6548;452;40.1;;
16.4;7000;7624;-624;38.87;;
14.3;7000;7326;-326;40.52;;
15.3;7000;7085;-85;45.39;;
11.2;7000;6804;196;43.92;;
11.5;7000;7105;-105;43;;
11.5;7000;7398;-398;40.1;;
11.6;7000;7066;-66;38.78;;
11.9;7000;7488;-488;28.86;;
13.6;7000;6468;532;25.5;;
12.3;7000;7343;-343;15.4;;
12;7000;6817;183;10.4;;
10.7;7000;6398;602;13.75;;
10.4;7000;6789;211;19.49;;
11.2;7000;6559;441;35.47;;
11.2;7000;6582;418;52.99;;
8.3;4206;4099;106;65.86;;
8.9;5302;4996;306;77;;
9.1;5678;5274;404;70;;
8.4;4389;4330;58;60.36;;
11;7000;8295;-1295;54.25;;
13.7;7000;6237;763;52.14;;
10.8;7000;7090;-90;48.99;;
11.8;7000;7688;-688;48.7;;
9.5;6378;6182;196;48.76;;
9;5484;5524;-40;49.89;;
9.3;6050;5603;447;52.71;;
7.9;3510;3664;-154;60.33;;
5.1;981;859;123;69.34;;
0.3;0;0;0;73.95;;
2.1;0;0;0;70.38;;
1.6;0;0;0;67.87;;
1.4;0;0;0;65.24;;
1.9;0;0;0;65.24;;
4.2;182;170;12;57.1;;
4.7;637;532;105;57.1;;
5.2;1052;1009;44;57.1;;
5.9;1549;1555;-6;65.24;;
6.2;1731;1859;-128;65.24;;
6.3;1787;1814;-28;68.77;;
8.1;3841;4020;-179;84.58;;
9.1;5678;6092;-414;85.05;;
9.8;7000;6624;376;65.75;;
9.7;6876;7530;-654;65.24;;
9.2;5871;6117;-245;57.1;;
8.5;4571;4896;-325;58;;
8.6;4754;4955;-201;55.41;;
8.4;4389;3849;539;48.13;;
8;3658;3956;-298;44;;
7.4;2768;2973;-205;55.41;;
6.9;2119;1868;251;63.34;;
6.4;1842;1760;82;63.34;;
4.7;637;554;83;67;;
3.1;0;0;0;75.7;;
1.7;0;0;0;72.62;;
2.6;0;0;0;69.58;;
3.4;0;0;0;64.71;;
3.4;0;0;0;54;;
3.5;0;0;0;35.53;;
3.3;0;0;0;27.1;;
2.7;0;0;0;27.29;;
2;0;0;0;27.85;;
2.2;0;0;0;61.24;;
3.3;0;0;0;63.46;;
1.8;0;0;0;70.05;;
2.7;0;0;0;71.44;;
3.3;0;0;0;66.76;;
4.9;819;801;19;62.97;;
5.9;1549;1716;-167;55.41;;
5.7;1407;1555;-148;55.41;;
4;0;0;0;55.41;;
2.2;0;0;0;54;;
3;0;0;0;44.18;;
3;0;0;0;54;;
2.6;0;0;0;55.41;;
2.5;0;0;0;65.46;;
1.5;0;0;0;74.14;;
2.3;0;0;0;75;;
3.1;0;0;0;63.35;;
3.4;0;0;0;57.76;;
3.3;0;0;0;57.61;;
3.6;0;0;0;55.41;;
2.9;0;0;0;50.5;;
2.7;0;0;0;40.45;;
2.6;0;0;0;47;;
2.4;0;0;0;49.22;;
1.9;0;0;0;55.41;;
4.2;182;195;-13;63.34;;
3.1;0;0;0;76.35;;
4.4;364;373;-8;82.91;;
5.7;1407;1496;-89;65.47;;
6.7;2008;1907;102;63.35;;
6.5;1897;1778;120;57.06;;
6;1620;1553;67;66.75;;
7.5;2916;2748;169;64.68;;
6.8;2064;2049;15;63.65;;
6.3;1787;1797;-10;63.18;;
5.8;1478;1646;-168;61.9;;
5.3;1123;1223;-100;65.62;;
4;0;0;0;71.34;;
3.3;0;0;0;87.74;;
0.6;0;0;0;76.01;;
2.4;0;0;0;65;;
3.1;0;0;0;60.96;;
3.2;0;0;0;50;;
3.5;0;0;0;50;;
3.3;0;0;0;49.94;;
3.6;0;0;0;49.95;;
3.6;0;0;0;53.95;;
3;0;0;0;62.05;;
2.2;0;0;0;67;;
3.2;0;0;0;70.22;;
3.9;0;0;0;95.89;;
3.7;0;0;0;90;;
4.1;91;91;0;79.3;;
4.7;637;700;-62;73.97;;
6.1;1676;1669;7;69.61;;
6;1620;1690;-70;56;;
4.7;637;557;80;55.28;;
4.8;728;761;-33;58.06;;
3.7;0;0;0;58.24;;
2.5;0;0;0;58.24;;
1.3;0;0;0;66.75;;
0.9;0;0;0;75;;
2.3;0;0;0;82.02;;
2.6;0;0;0;80.18;;
3.6;0;0;0;66.76;;
3.9;0;0;0;63.28;;
4.2;182;195;-13;62.34;;
4.4;364;378;-14;59.51;;
3.5;0;0;0;58.11;;
4.2;182;185;-3;58.24;;
4.3;273;233;40;59.51;;
4.4;364;350;14;58.24;;
5.4;1194;1183;11;63.8;;
6.5;1897;2040;-143;70.68;;
6.1;1676;1594;82;83;;
6.1;1676;1785;-110;84.9;;
8.4;4389;4211;178;76.51;;
8.1;3841;4134;-293;71.24;;
6.9;2119;2149;-30;67.93;;
6;1620;1759;-139;62;;
11.9;7000;7285;-285;59.11;;
11.5;7000;7250;-250;55.33;;
10;7000;7676;-676;53.96;;
11.1;7000;7332;-332;53.62;;
12.1;7000;6643;357;56;;
9.5;6378;6847;-469;59.03;;
9.6;6627;5964;663;59.62;;
7.1;2323;2416;-93;59.44;;
5.3;1123;1137;-14;56.49;;
6.3;1787;1816;-29;59.01;;
9.7;6876;8102;-1226;57.96;;
10;7000;6378;622;55.33;;
7.8;3361;3203;158;52.5;;
9.2;5871;5648;223;50.08;;
11.9;7000;6947;53;50.01;;
11.2;7000;7540;-540;52.04;;
12.2;7000;6389;611;57.47;;
11.4;7000;6613;387;63.1;;
10.6;7000;6607;393;69.24;;
9.4;6214;5361;853;70.1;;
10.9;7000;8218;-1218;62.7;;
10;7000;6578;422;57.72;;
11.6;7000;6677;323;55.98;;
11.5;7000;6942;58;63.33;;
12.3;7000;6981;19;58.63;;
12.9;7000;6783;217;57.21;;
12.8;7000;7351;-351;53.96;;
16.8;7000;6868;132;52;;
18.7;7000;7148;-148;55.12;;
19.5;7000;7836;-836;56.07;;
13.7;7000;6519;481;52.56;;
11.6;7000;7143;-143;60.39;;
12;7000;7059;-59;60.39;;
13.1;7000;6244;756;57.65;;
15.2;7000;6629;371;57.65;;
14.9;7000;6940;60;55.49;;
9.3;6050;5397;653;32.57;;
8.9;5302;5469;-168;31.23;;
8.1;3841;3956;-115;45.5;;
7.2;2471;2673;-201;51.96;;
6.5;1897;1687;211;57.22;;
7.3;2620;2922;-303;57.65;;
5;911;945;-34;66.64;;
5.1;981;978;4;73;;
5.9;1549;1543;7;70.1;;
6.3;1787;1619;168;66;;
7.3;2620;2566;54;62.36;;
9.8;7000;6562;438;61.51;;
7.4;2768;2694;74;56.86;;
7.3;2620;2553;67;55.99;;
6.6;1953;2090;-137;53.73;;
6.6;1953;1853;100;53.95;;
6;1620;1638;-18;61.95;;
4.6;546;501;45;74.4;;
4;0;0;0;85.72;;
3.1;0;0;0;90.89;;
0.6;0;0;0;74.21;;
4.3;273;264;9;70.96;;
3.4;0;0;0;67.76;;
3.8;0;0;0;66.7;;
3.1;0;0;0;63.66;;
3.1;0;0;0;63.66;;
3.2;0;0;0;66.7;;
3.4;0;0;0;70.01;;
1.5;0;0;0;69.2;;
0.7;0;0;0;70.72;;
2.1;0;0;0;82.86;;
2.8;0;0;0;84.88;;
3.2;0;0;0;78;;
2.3;0;0;0;72.94;;
2.3;0;0;0;66.7;;
3.3;0;0;0;63.61;;
3;0;0;0;66.96;;
3.4;0;0;0;63.61;;
3.3;0;0;0;63.61;;
3.4;0;0;0;63.61;;
4.3;273;275;-2;63.61;;
4.5;455;465;-10;76.08;;
3.1;0;0;0;84.99;;
2.9;0;0;0;85.93;;
4.7;637;627;11;77.79;;
2.8;0;0;0;61.99;;
2.3;0;0;0;62.9;;
2.7;0;0;0;59.92;;
3.5;0;0;0;55.78;;
2.9;0;0;0;55.78;;
3.5;0;0;0;53;;
2.1;0;0;0;52.99;;
1.8;0;0;0;56.74;;
0.8;0;0;0;62.25;;
7.6;3065;3004;60;75.64;;
2.8;0;0;0;75;;
5.3;1123;1160;-36;66.81;;
5.3;1123;1125;-1;66.43;;
1.9;0;0;0;55.78;;
3.7;0;0;0;67.03;;
5.2;1052;1137;-84;66.95;;
4.4;364;385;-21;63.65;;
3.5;0;0;0;63.65;;
4.1;91;90;1;63.81;;
4.1;91;68;23;70.66;;
2.2;0;0;0;82.64;;
3.3;0;0;0;94.81;;
0.8;0;0;0;94.81;;
2.6;0;0;0;86.79;;
1;0;0;0;67.03;;
1.1;0;0;0;63.65;;
0.3;0;0;0;61.65;;
1.5;0;0;0;56.07;;
2;0;0;0;56.07;;
2.8;0;0;0;59.99;;
3.2;0;0;0;66;;
3.3;0;0;0;68.14;;
4;0;0;0;87.8;;
2.5;0;0;0;98.41;;
4.2;182;196;-14;100;;
3.3;0;0;0;81.14;;
3.3;0;0;0;77.62;;
3.3;0;0;0;67.03;;
2.7;0;0;0;58.49;;
1;0;0;0;56.91;;
3;0;0;0;57.86;;
3.2;0;0;0;58.7;;
2.2;0;0;0;56.58;;
4;0;0;0;61.94;;
3;0;0;0;82.79;;
4.8;728;675;53;94.81;;
5.5;1265;1344;-78;94.81;;
5.9;1549;1449;100;87.33;;
6.8;2064;2156;-92;76.01;;
7.2;2471;2503;-32;69.84;;
6.9;2119;2053;66;68;;
5.2;1052;984;68;67.47;;
5.2;1052;1091;-39;67;;
5.2;1052;1081;-28;68;;
5.3;1123;1345;-222;67.47;;
5.9;1549;1583;-34;70.2;;
6.1;1676;1463;212;74.48;;
6.8;2064;1885;179;87.1;;
7.2;2471;2318;153;85;;
6.7;2008;2154;-146;78;;
6.3;1787;1719;68;72.25;;
6;1620;1660;-40;68.58;;
5.8;1478;1385;93;74.52;;
4.5;455;436;19;67.02;;
5.2;1052;1082;-30;64.04;;
5.1;981;948;34;64.04;;
5;911;960;-49;64.04;;
4.6;546;580;-33;67.1;;
4;0;0;0;76.22;;
4.1;91;88;3;64.04;;
2.9;0;0;0;64.04;;
2.2;0;0;0;80.42;;
2;0;0;0;77.55;;
1.9;0;0;0;78.53;;
1.3;0;0;0;71.03;;
1.1;0;0;0;68.29;;
0.8;0;0;0;67.76;;
1.7;0;0;0;68;;
1.2;0;0;0;68.01;;
1.6;0;0;0;68.29;;
1.7;0;0;0;71.61;;
3.3;0;0;0;80.1;;
2.7;0;0;0;80.05;;
1.4;0;0;0;80;;
0.8;0;0;0;73.94;;
0.7;0;0;0;64.04;;
0.9;0;0;0;72.04;;
0.5;0;0;0;65.99;;
1;0;0;0;63.66;;
0.6;0;0;0;61.06;;
0.2;0;0;0;59.71;;
1.4;0;0;0;59.17;;
0.9;0;0;0;66.26;;
3.5;0;0;0;68.2;;
3.4;0;0;0;73.64;;
4.3;273;283;-10;74.07;;
5.4;1194;1126;68;74.07;;
6.7;2008;1910;99;67.17;;
5.6;1336;1296;40;65.99;;
7;2175;2203;-29;62.96;;
7.5;2916;2955;-39;61.21;;
5.9;1549;1361;188;63.66;;
5.8;1478;1524;-46;63.77;;
5.2;1052;1189;-136;63.66;;
4.3;273;290;-16;69.17;;
2.5;0;0;0;74.48;;
1.2;0;0;0;81.97;;
1.2;0;0;0;77.59;;
3;0;0;0;75.63;;
5.7;1407;1299;108;72.34;;
7.4;2768;2777;-9;72.81;;
8.6;4754;4654;100;65.53;;
8.8;5119;5267;-148;64.77;;
8.9;5302;5262;40;62.1;;
8.5;4571;4571;0;61.26;;
6.7;2008;2075;-67;64.77;;
6.5;1897;1701;197;65.95;;
10.4;7000;7800;-800;65;;
6.8;2064;1831;233;64.77;;
6.2;1731;1736;-5;66.66;;
5.2;1052;919;134;70.48;;
5.2;1052;990;62;70.48;;
6.3;1787;1833;-46;68.94;;
7.5;2916;2549;368;64.16;;
6.6;1953;2040;-87;63.66;;
5.4;1194;1223;-29;63.66;;
5.2;1052;1105;-52;63.66;;
5.3;1123;1060;63;65.3;;
6.7;2008;2207;-198;69.9;;
8.8;5119;5282;-163;77.41;;
10.1;7000;6251;749;87.83;;
10.1;7000;7273;-273;81;;
9.7;6876;7105;-230;77;;
12;7000;6997;3;74.07;;
12.9;7000;7692;-692;73.72;;
12.3;7000;6121;879;67.07;;
14.4;7000;7088;-88;66.93;;
14;7000;6568;432;66.93;;
15;7000;7068;-68;66.93;;
13.7;7000;6295;705;69.98;;
13.4;7000;7504;-504;84.9;;
12.7;7000;7366;-366;98.66;;
11.3;7000;6991;9;94.44;;
11.7;7000;6978;22;82.1;;
9.9;7000;7652;-652;75.96;;
9.4;6214;6322;-107;69.74;;
9.3;6050;6786;-736;68.3;;
7.2;2471;2494;-23;63.94;;
6.3;1787;1722;65;59.86;;
6;1620;1582;39;58.4;;
5.6;1336;1270;66;61.57;;
4.6;546;488;59;69;;
5.5;1265;1317;-52;75.65;;
4;0;0;0;99.41;;
3.9;0;0;0;100;;
4.3;273;295;-22;75;;
4.9;819;792;27;80;;
4.7;637;618;20;65.5;;
5;911;902;9;63;;
5.8;1478;1509;-30;59.99;;
5.7;1407;1429;-22;58.47;;
5.9;1549;1688;-139;58.47;;
5.8;1478;1383;95;64.45;;
4.8;728;738;-10;71.6;;
1.3;0;0;0;85.43;;
0.9;0;0;0;94.44;;
1.8;0;0;0;84.7;;
1.6;0;0;0;76.1;;
2.7;0;0;0;70;;
3.7;0;0;0;65.97;;
4;0;0;0;62.7;;
2;0;0;0;56.47;;
1.7;0;0;0;58.47;;
2.4;0;0;0;62;;
2.8;0;0;0;67.35;;
1.1;0;0;0;69.88;;
1.9;0;0;0;84.98;;
1.6;0;0;0;100;;
3.1;0;0;0;101.73;;
3;0;0;0;93.92;;
3.7;0;0;0;86.91;;
5.7;1407;1625;-218;74.4;;
5.9;1549;1588;-38;65;;
4;0;0;0;59.94;;
3.6;0;0;0;58.45;;
4;0;0;0;58.45;;
3.5;0;0;0;60.2;;
3.1;0;0;0;68.16;;
3.1;0;0;0;81.01;;
2.3;0;0;0;87.61;;
3.7;0;0;0;96.48;;
4;0;0;0;90;;
4.5;455;490;-35;73;;
4.6;546;549;-3;71.09;;
4.9;819;925;-106;72.46;;
2.7;0;0;0;69.5;;
3.4;0;0;0;69.5;;
3.2;0;0;0;70;;
2;0;0;0;70.47;;
1.4;0;0;0;74.65;;
1.8;0;0;0;83.78;;
2.5;0;0;0;90;;
2.9;0;0;0;91.7;;
3.1;0;0;0;86.35;;
2.8;0;0;0;81.56;;
2.7;0;0;0;66.98;;
2.2;0;0;0;71.67;;
3.5;0;0;0;68.63;;
2.9;0;0;0;66.99;;
2.8;0;0;0;65;;
2.6;0;0;0;66.48;;
2.6;0;0;0;68.07;;
1.4;0;0;0;74.31;;
1.8;0;0;0;82.57;;
2.9;0;0;0;85;;
3.1;0;0;0;75.33;;
3.3;0;0;0;77.46;;
3.4;0;0;0;74.01;;
3.4;0;0;0;70.58;;
2.5;0;0;0;67.76;;
2.8;0;0;0;62.16;;
2.6;0;0;0;66.98;;
1.8;0;0;0;69.34;;
0.9;0;0;0;70.58;;
1.1;0;0;0;75.9;;
2.4;0;0;0;81.4;;
2.5;0;0;0;84.42;;
2.7;0;0;0;78.71;;
2.4;0;0;0;75.3;;
2.6;0;0;0;70.81;;
2.4;0;0;0;66.99;;
3.9;0;0;0;58.5;;
4.9;819;952;-132;58.46;;
5.1;981;889;93;58.46;;
5.4;1194;1181;14;59.73;;
5.2;1052;1187;-135;67;;
3.7;0;0;0;77;;
4;0;0;0;83.73;;
2;0;0;0;90.58;;
1.2;0;0;0;79.34;;
1.9;0;0;0;70.2;;
2.3;0;0;0;68.9;;
2.6;0;0;0;68.61;;
3.6;0;0;0;62.99;;
2.7;0;0;0;62.99;;
2;0;0;0;64.01;;
3.3;0;0;0;64.87;;
4;0;0;0;67.5;;
4.6;546;563;-17;69.84;;
5;911;901;9;82.95;;
4;0;0;0;83.3;;
3.7;0;0;0;78.33;;
3.6;0;0;0;70.9;;
3.5;0;0;0;65.69;;
3.7;0;0;0;66.57;;
3.2;0;0;0;58.07;;
2.9;0;0;0;54.48;;
4.1;91;92;-1;54.48;;
4.9;819;832;-12;54.03;;
4.6;546;582;-36;54.5;;
4.4;364;360;4;64.58;;
3.8;0;0;0;62.45;;
4.4;364;382;-18;63.62;;
4.4;364;367;-2;59;;
4.6;546;623;-77;65.82;;
4.9;819;773;47;61.4;;
4.6;546;564;-18;57.22;;
4.2;182;160;22;50.07;;
2.9;0;0;0;49.85;;
2.6;0;0;0;52.53;;
3;0;0;0;58.34;;
4;0;0;0;66.57;;
4.4;364;351;13;67.77;;
4.6;546;531;16;66.57;;
4.3;273;276;-3;66.57;;
4.6;546;492;54;63.53;;
3.5;0;0;0;66.57;;
3.6;0;0;0;55.91;;
3.8;0;0;0;63.69;;
