Wind Speed;Production;SMP;Rounded Prod
4.7;159.34;51.39;637.36
6.6;488.24;52.56;1952.96
4;0;55.95;0
2.5;0;63.97;0
4;0;67.71;0
4.5;113.81;64.86;455.24
3;0;67.01;0
6.1;418.9;62.31;1675.6
6.1;418.9;60;1675.6
7.2;617.87;60;2471.48
7;543.72;62.78;2174.88
7.5;729.1;69.92;2916.4
6.5;474.37;71.99;1897.48
7.5;729.1;68.95;2916.4
7.7;803.25;62.66;3213
8.3;1051.47;59;4205.88
8;914.48;56.53;3657.92
7.1;580.8;55.41;2323.2
5.2;263.11;53.88;1052.44
9.5;1594.57;54;6378.28
8.6;1188.46;53.14;4753.84
7.9;877.4;49.04;3509.6
8.5;1142.8;48.45;4571.2
5.3;280.85;49.07;1123.4
3.6;0;52.5;0
7.5;729.1;56.2;2916.4
5.5;316.33;46.78;1265.32
4.1;22.76;48.28;91.04
4.2;45.53;54;182.12
4.3;68.29;48.28;273.16
3.9;0;47.5;0
3.9;0;46.78;0
3.5;0;42.89;0
3.8;0;46.78;0
4.3;68.29;47.21;273.16
5;227.63;58;910.52
5.6;334.07;65;1336.28
3.5;0;68.14;0
3.8;0;63.58;0
2.9;0;53.99;0
2.6;0;46.78;0
1.9;0;46.78;0
0.9;0;51.56;0
1.8;0;35;0
1.9;0;19.95;0
0.7;0;19.95;0
1.1;0;32.15;0
2.3;0;52.1;0
2.3;0;62.51;0
4.3;68.29;68.32;273.16
5.4;298.59;49.31;1194.36
5.7;351.81;54.01;1407.24
6.1;418.9;62.03;1675.6
6.3;446.64;58.14;1786.56
6.5;474.37;62.06;1897.48
4.9;204.87;65.99;819.48
5;227.63;68.86;910.52
4.2;45.53;61.23;182.12
4.7;159.34;62.03;637.36
4.9;204.87;53.68;819.48
5.8;369.55;53.68;1478.2
5.7;351.81;53.68;1407.24
4.9;204.87;53.68;819.48
5.2;263.11;47.06;1052.44
5.2;263.11;47.06;1052.44
3.7;0;45.5;0
3.7;0;24.37;0
2;0;20.78;0
2.2;0;22.07;0
4.2;45.53;21.71;182.12
4.6;136.58;22.7;546.32
3.8;0;30.36;0
5.5;316.33;52.01;1265.32
3.8;0;56.38;0
4.8;182.1;66.39;728.4
4.5;113.81;70.57;455.24
4.8;182.1;69.13;728.4
5.4;298.59;68.54;1194.36
4.8;182.1;67.77;728.4
5.5;316.33;57.55;1265.32
5.2;263.11;63.7;1052.44
4.7;159.34;63.63;637.36
5.4;298.59;66.78;1194.36
5.3;280.85;73.08;1123.4
5.5;316.33;73.64;1265.32
5.4;298.59;70.92;1194.36
7.2;617.87;66.14;2471.48
9.1;1419.47;46.32;5677.88
9.3;1512.52;42.12;6050.08
6.9;529.85;42.58;2119.4
9.9;1750;47.75;7000
11.5;1750;47.75;7000
8.4;1097.13;47.75;4388.52
7.4;692.02;47.27;2768.08
7.2;617.87;47.75;2471.48
6.8;515.98;61.4;2063.92
6.4;460.5;71.2;1842
8.7;1234.12;84;4936.48
7.6;766.18;88.33;3064.72
5.6;334.07;86.3;1336.28
4.7;159.34;81.55;637.36
5;227.63;66.23;910.52
5.3;280.85;59.92;1123.4
9.7;1718.91;59.29;6875.64
9.6;1656.74;69.97;6626.96
9.4;1553.55;76.9;6214.2
9.8;1750;81.79;7000
9.5;1594.57;86.42;6378.28
9.6;1656.74;87.69;6626.96
8.9;1325.45;79.3;5301.8
10.8;1750;69.45;7000
11.1;1750;64.26;7000
11.8;1750;61.81;7000
7.2;617.87;52.22;2471.48
2.9;0;22.51;0
6;405.03;10;1620.12
7.2;617.87;2.08;2471.48
2.1;0;2.01;0
11.3;1750;2;7000
9.4;1553.55;2.01;6214.2
7.8;840.33;20.08;3361.32
6.7;502.11;47.27;2008.44
8.3;1051.47;61.46;4205.88
6.9;529.85;56.86;2119.4
11.9;1750;56.86;7000
11.4;1750;59.55;7000
9.7;1718.91;57.05;6875.64
9.7;1718.91;57.43;6875.64
11.8;1750;64.1;7000
12;1750;71.09;7000
13.7;1750;74.01;7000
12.8;1750;82.38;7000
13.2;1750;86;7000
12.7;1750;80.15;7000
13.8;1750;69;7000
11.2;1750;50.58;7000
10.5;1750;30.7;7000
9.8;1750;42.64;7000
9.5;1594.57;35;6378.28
7.7;803.25;46.44;3213
7.4;692.02;46.44;2768.08
6.2;432.77;35;1731.08
4.7;159.34;27.6;637.36
3.4;0;45;0
1.4;0;47.44;0
5.1;245.37;56.89;981.48
4.8;182.1;78.02;728.4
3.3;0;58.34;0
3.6;0;58.4;0
3.5;0;65;0
3.2;0;68.85;0
4.9;204.87;69.97;819.48
5.7;351.81;77.14;1407.24
8.3;1051.47;76.98;4205.88
10.2;1750;82;7000
11.2;1750;97.04;7000
12.6;1750;98.02;7000
11.2;1750;94.38;7000
12.8;1750;77.2;7000
14.8;1750;67.18;7000
13.1;1750;63.19;7000
13.3;1750;57.01;7000
15.3;1750;47.44;7000
13.4;1750;47.44;7000
12.2;1750;47.44;7000
11.4;1750;47.44;7000
8.9;1325.45;46.48;5301.8
9.2;1467.83;46.48;5871.32
9.2;1467.83;47.44;5871.32
15.5;1750;54.96;7000
13.6;1750;56.94;7000
13.6;1750;53.08;7000
12.5;1750;53.08;7000
12;1750;53.08;7000
10.9;1750;49.08;7000
9.8;1750;46.48;7000
9.2;1467.83;46.56;5871.32
8.8;1279.78;47.48;5119.12
8.5;1142.8;57.7;4571.2
8;914.48;65.01;3657.92
8.2;1005.81;66.4;4023.24
11.1;1750;63.8;7000
9.9;1750;53.08;7000
8.3;1051.47;44.02;4205.88
8.4;1097.13;41;4388.52
9.1;1419.47;41.01;5677.88
8.3;1051.47;41.01;4205.88
9.2;1467.83;41;5871.32
8.5;1142.8;25.12;4571.2
8.2;1005.81;22.22;4023.24
9.9;1750;22.25;7000
10.2;1750;33.72;7000
9.4;1553.55;31.28;6214.2
10.7;1750;43.38;7000
8.7;1234.12;52.3;4936.48
8.8;1279.78;57.88;5119.12
7.1;580.8;60.81;2323.2
6.5;474.37;60.11;1897.48
6.6;488.24;59.8;1952.96
3.8;0;57;0
2.4;0;57.76;0
5.8;369.55;58.57;1478.2
6.7;502.11;62.25;2008.44
7.7;803.25;70;3213
7.2;617.87;93.25;2471.48
8.1;960.14;95.27;3840.56
7.7;803.25;70;3213
8.6;1188.46;62.99;4753.84
9.4;1553.55;60.48;6214.2
9.9;1750;56.97;7000
10.2;1750;53.37;7000
9.8;1750;47.62;7000
10.8;1750;46.38;7000
12;1750;30.43;7000
11.9;1750;27.21;7000
11.2;1750;45.1;7000
10.5;1750;65.4;7000
13;1750;80.22;7000
12.8;1750;85.79;7000
11.8;1750;80.95;7000
9.9;1750;69.03;7000
10.4;1750;63.7;7000
10.6;1750;62.33;7000
12.1;1750;63.22;7000
14.6;1750;62.33;7000
14.7;1750;79.33;7000
14;1750;86.3;7000
9.5;1594.57;97.16;6378.28
7;543.72;93.96;2174.88
10.6;1750;89.4;7000
8.9;1325.45;79.4;5301.8
8.3;1051.47;68.5;4205.88
7.9;877.4;65.58;3509.6
7.2;617.87;64;2471.48
7.2;617.87;54.04;2471.48
12.7;1750;52.3;7000
12.1;1750;49.6;7000
11.2;1750;47.9;7000
12;1750;49.6;7000
11.2;1750;57.6;7000
10.5;1750;67.82;7000
12.6;1750;85;7000
12.8;1750;93.61;7000
14.3;1750;87.56;7000
13.4;1750;82.4;7000
12.9;1750;80.95;7000
12.9;1750;71.38;7000
9.6;1656.74;69.97;6626.96
