Wind Speed;Production;SMP;Rounded Prod
0;7000;48.19;7000
0;7000;44.68;7000
0;7000;42.92;7000
0;7000;40.39;7000
0;7000;20.96;7000
0;7000;39.63;7000
0;7000;40.1;7000
0;7000;20;7000
0;7000;40.74;7000
0;7000;45;7000
0;7000;47.2;7000
0;7000;48.43;7000
0;7000;24.85;7000
0;7000;44.73;7000
0;6875.658405;46.59;6875.66
0;5677.874619;52.99;5677.87
0;7000;60.26;7000
0;7000;60.61;7000
0;7000;60.36;7000
0;3361.312296;57.4;3361.31
0;3361.312296;53.86;3361.31
0;4753.8336;53.45;4753.83
0;1620.11332;49.72;1620.11
0;1052.436104;46.69;1052.44
0;2916.39942;42.43;2916.4
0;91.05168;41.09;91.05
0;1123.395756;27.26;1123.4
0;0;20.08;0
0;0;39;0
0;0;42.09;0
0;0;46.57;0
0;0;31.88;0
0;0;48.81;0
0;0;48.81;0
0;0;48.81;0
0;0;48.81;0
0;0;40.45;0
0;0;51.68;0
0;0;53.89;0
0;0;59.99;0
0;0;62;0
0;0;63.08;0
0;0;62.17;0
0;0;60.03;0
0;0;48.35;0
0;0;48.35;0
0;0;48.35;0
0;0;46.11;0
0;0;43;0
0;0;35;0
0;637.36176;28.54;637.36
0;1407.234364;16.2;1407.23
0;3509.616588;20.11;3509.62
0;2619.790836;22.12;2619.79
0;2063.925032;36.97;2063.93
0;2916.39942;41.07;2916.4
0;4936.48572;44.49;4936.49
0;5301.78996;49;5301.79
0;7000;49;7000
0;7000;44.4;7000
0;7000;38.55;7000
0;6875.658405;43.73;6875.66
0;2323.182252;45.53;2323.18
0;2063.925032;49.92;2063.93
0;7000;58;7000
0;7000;59.5;7000
0;5301.78996;61.09;5301.79
0;5484.44208;60;5484.44
0;3064.703712;53.78;3064.7
0;1786.542712;49;1786.54
0;1407.234364;48.13;1407.23
0;1194.355408;46.85;1194.36
0;1052.436104;20;1052.44
0;0;3;0
0;0;1.5;0
0;0;3;0
0;0;23.58;0
0;0;53.64;0
0;0;52.54;0
0;0;56.32;0
0;0;68.24;0
0;0;65.97;0
0;0;63.9;0
0;0;62.3;0
0;0;48.87;0
0;273.15504;48.87;273.16
0;2174.87796;48.87;2174.88
0;2768.095128;53.64;2768.1
0;3361.312296;67.02;3361.31
0;6050.077147;71.05;6050.08
0;6050.077147;70.18;6050.08
0;5484.44208;65;5484.44
0;2768.095128;49.18;2768.1
0;2008.448568;46.6;2008.45
0;2119.401496;48.87;2119.4
0;3064.703712;22.72;3064.7
0;5677.874619;22.39;5677.87
0;7000;19;7000
